Model Adı,5 Benzer Metin,Skorlar (1-5),Ortalama
word2vec_lemmatized_cbow_win2_dim100,"doc1459, doc1620, doc1700, doc2345, doc1609",,
word2vec_lemmatized_cbow_win2_dim300,"doc1459, doc1620, doc1700, doc2345, doc2514",,
word2vec_lemmatized_cbow_win4_dim100,"doc1459, doc1620, doc1700, doc2345, doc1609",,
word2vec_lemmatized_cbow_win4_dim300,"doc1459, doc1620, doc1700, doc2345, doc2514",,
word2vec_lemmatized_skipgram_win2_dim100,"doc1459, doc2514, doc2345, doc1700, doc1620",,
word2vec_lemmatized_skipgram_win2_dim300,"doc1459, doc2345, doc1700, doc1620, doc2514",,
word2vec_lemmatized_skipgram_win4_dim100,"doc2345, doc1459, doc2514, doc1153, doc1700",,
word2vec_lemmatized_skipgram_win4_dim300,"doc1459, doc2345, doc2514, doc1153, doc1111",,
word2vec_stemmed_cbow_win2_dim100,"doc2345, doc1459, doc1620, doc1700, doc2514",,
word2vec_stemmed_cbow_win2_dim300,"doc1459, doc1620, doc1700, doc2345, doc1609",,
word2vec_stemmed_cbow_win4_dim100,"doc2345, doc1459, doc1620, doc2514, doc1700",,
word2vec_stemmed_cbow_win4_dim300,"doc1459, doc2345, doc1620, doc1700, doc2514",,
word2vec_stemmed_skipgram_win2_dim100,"doc2345, doc2514, doc1459, doc1700, doc1153",,
word2vec_stemmed_skipgram_win2_dim300,"doc2345, doc2514, doc1459, doc1620, doc1153",,
word2vec_stemmed_skipgram_win4_dim100,"doc2345, doc1459, doc2514, doc1153, doc1111",,
word2vec_stemmed_skipgram_win4_dim300,"doc2345, doc2514, doc1459, doc1111, doc1153",,
