steamid,yorum,begeni,oynanan_saat
76561198283929959,like,Evet,1375.1833333333334
76561198236082368,.,Evet,409.75
76561199503326507,skapana igra <3 [postoqno hackeri],Hayır,568.2166666666667
76561199223108620,because its full of silly ahh gamers with hacks,Evet,8.983333333333333
76561199562127587,got got many racist words,Evet,72.41666666666667
76561198891360768,where go go?,Evet,1312.75
76561198375679163,e4twdRHREH,Evet,1082.0166666666667
76561199032521973,Chunks.,Evet,264.81666666666666
76561199198316952,nice,Evet,7.5
76561199577154223,good,Evet,24.05
76561198973301214,.,Evet,577.9666666666667
76561199811877779,fun but kinda hard,Evet,42.85
76561198850296045,jst cuh,Evet,12.983333333333333
76561199759698725,"amazinf game
'",Evet,5.816666666666666
76561199821533369,gay,Hayır,146.16666666666666
76561199468497207,"buosok banget timnya, kebanyakan orang cina jir, server gw ampasss!",Hayır,44.833333333333336
76561198094748554,i died,Hayır,803.8666666666667
76561198084268495,bad game not fun,Hayır,1808.45
76561199672075692,TERRIBLE GAME FULL OF CHEATERS AND RETARDS,Hayır,52.78333333333333
76561198116926293,sometimes it makes me feel like a god other times i want to cry 10/10 game,Evet,353.43333333333334
76561199263273967,https://steamcommunity.com/id/donkgojo/inventory/#730_2_41640713724,Evet,213.41666666666666
76561199403625096,ggwp,Evet,6.866666666666666
76561198422126083,best!,Evet,2466.05
76561199351759725,my  love,Evet,111.1
76561199811552967,buy it       its good,Evet,6.75
76561199529952659,w,Evet,1684.8333333333333
76561199074406807,Its nostalgic and too famous not too play. Great Game.,Evet,61.25
76561199384894844,"How to play CS

1. Buy some cases
2. Buy keys to open cases
3. Open cases
4. Cry alone because you lost all your money",Evet,414.1
76561199848964001,"To be honest, during deep depression episode i found that only CS2 can really help me... No, it's not healing mine mental health, but it don't let's me do something to regret later. If you got mental problems - try this game. Maybe, it will make you life more happy.",Evet,23.733333333333334
76561198983451467,GGWP!,Evet,17.466666666666665
76561198038258143,yes!,Evet,1502.1833333333334
76561199756313578,Best Anti Cheat out of all games,Evet,77.8
76561199688326699,Its very good.,Evet,59.65
76561199201608097,"game, Pew Pew, hehe",Evet,5.85
76561199040912183,its great,Evet,38.46666666666667
76561197998556441,Yep,Evet,3305.366666666667
76561199466317262,"The games free realistic and fun, nothing else needed to say...",Evet,20.6
76561198005349662,!,Evet,2902.8166666666666
76561199119519690,"GAMBLE
",Evet,6.033333333333333
76561199825298805,it is cs go 2 goated,Evet,60.733333333333334
76561199840541842,GOOD,Evet,36.88333333333333
76561199037485854,amazing,Evet,1016.8333333333334
76561199026849901,Teammates are a bit special at times. Low elo in cs is worst than low elo in valorant. Low elo in cs gives me aids and autism while low elo in val only gives me autism.,Evet,219.05
76561198148596159,garbo,Hayır,1930.3666666666666
76561199486494126,not bad not good,Evet,113.28333333333333
76561198138195646,started playing casualy now im hooked,Evet,11.883333333333333
76561198126559020,aw this fkn game vac ban me dog!!!!,Hayır,2224.0833333333335
76561198075470239,.,Evet,1034.6833333333334
76561198809265730,"https://steamcommunity.com/id/devvek1ng/inventory/#730_2_48246766
https://steamcommunity.com/id/devvek1ng/inventory/#730_2_182013977
https://steamcommunity.com/id/devvek1ng/inventory/#730_2_1905953453",Evet,2525.9666666666667
76561199180464126,cheaters every game,Hayır,1246.5666666666666
76561199820447303,"accept match, attempt to warmup, teamates baits you. next round buy a eco gun, teamate baits you, next round buy a ak teamate baits you 10/10 experience",Evet,58.65
76561198883139110,frid chicken,Evet,21.983333333333334
76561199025675407,i miss cache,Evet,388.8
